geo_level,geo_name,pct_black_alone,race_or_ethnicity,number_of_employees,number_of_employer_firms,quartiles_number_of_employees,quartiles_number_of_employer_firms,percentile_number_of_employees,percentile_number_of_employer_firms
state,Maine,1.6,Black,3501,160,26-50% of geographies,Bottom 25% of geographies,30,12
state,West Virginia,3.4,Black,3008,163,26-50% of geographies,Bottom 25% of geographies,26,14
state,New Hampshire,1.5,White,262070,25322,26-50% of geographies,Bottom 25% of geographies,26,22
state,Delaware,22,Hispanic,5785,621,26-50% of geographies,Bottom 25% of geographies,28,24
state,Iowa,3.8,Asian,10845,1596,26-50% of geographies,26-50% of geographies,28,26
state,District of Columbia,44.3,Hispanic,7665,783,26-50% of geographies,26-50% of geographies,30,28
state,New Mexico,2.1,Asian,15977,1614,26-50% of geographies,26-50% of geographies,32,28
state,New Mexico,2.1,Black,4180,297,26-50% of geographies,26-50% of geographies,36,28
state,Mississippi,37.2,White,429075,32158,26-50% of geographies,26-50% of geographies,32,28
state,District of Columbia,44.3,Asian,10286,1807,26-50% of geographies,26-50% of geographies,26,30
state,Nebraska,4.8,White,414514,35129,26-50% of geographies,26-50% of geographies,30,30
state,Iowa,3.8,Hispanic,5405,1123,26-50% of geographies,26-50% of geographies,26,30
state,Alabama,26.4,Hispanic,14650,1177,26-50% of geographies,26-50% of geographies,44,32
state,Utah,1.1,Asian,19962,2079,26-50% of geographies,26-50% of geographies,36,32
state,Kansas,5.6,Black,4035,507,26-50% of geographies,26-50% of geographies,34,32
state,Idaho,0.7,White,354209,38449,26-50% of geographies,26-50% of geographies,28,32
state,Arkansas,15.1,Hispanic,11622,1215,26-50% of geographies,26-50% of geographies,38,34
state,Kentucky,8,Black,8398,691,26-50% of geographies,26-50% of geographies,38,34
state,Delaware,22,Asian,15279,2253,26-50% of geographies,26-50% of geographies,30,34
state,Arkansas,15.1,White,476683,39706,26-50% of geographies,26-50% of geographies,34,34
state,Nevada,9.3,White,478189,39939,26-50% of geographies,26-50% of geographies,36,36
state,Arkansas,15.1,Asian,22922,2485,26-50% of geographies,26-50% of geographies,38,36
state,Oregon,1.9,Black,8583,751,26-50% of geographies,26-50% of geographies,40,36
state,Nebraska,4.8,Hispanic,8385,1350,26-50% of geographies,26-50% of geographies,32,36
state,Kansas,5.6,White,519118,43695,26-50% of geographies,26-50% of geographies,38,38
state,Minnesota,6.7,Hispanic,9599,1419,26-50% of geographies,26-50% of geographies,34,38
state,Mississippi,37.2,Asian,19472,2569,26-50% of geographies,26-50% of geographies,34,38
state,Delaware,22,Black,3963,862,26-50% of geographies,26-50% of geographies,32,38
state,Wisconsin,6.2,Hispanic,16072,1489,26-50% of geographies,26-50% of geographies,48,40
state,Kansas,5.6,Asian,28974,2718,26-50% of geographies,26-50% of geographies,40,40
state,Connecticut,10.7,White,556816,51286,26-50% of geographies,26-50% of geographies,40,40
state,Arkansas,15.1,Black,3386,887,26-50% of geographies,26-50% of geographies,28,40
state,Oklahoma,7.2,Black,9013,1046,26-50% of geographies,26-50% of geographies,42,42
state,Iowa,3.8,White,638836,51329,26-50% of geographies,26-50% of geographies,44,42
state,Kentucky,8,Asian,29796,3134,26-50% of geographies,26-50% of geographies,42,42
state,Missouri,11.3,Hispanic,13894,1492,26-50% of geographies,26-50% of geographies,42,42
state,Kentucky,8,White,730140,52303,26-50% of geographies,26-50% of geographies,48,44
state,Wisconsin,6.2,Asian,33181,3813,26-50% of geographies,26-50% of geographies,44,44
state,Kansas,5.6,Hispanic,13102,1653,26-50% of geographies,26-50% of geographies,40,44
state,Wisconsin,6.2,Black,10780,1061,26-50% of geographies,26-50% of geographies,46,44
state,Nevada,9.3,Black,12419,1106,26-50% of geographies,26-50% of geographies,48,46
state,Minnesota,6.7,Asian,33797,4458,26-50% of geographies,26-50% of geographies,46,46
