geo_level,geo_name,metric,metric_value,race_or_ethnicity,number_of_employees,number_of_employer_firms
state,Utah,Firm Receipt Amount,"$5,000 to $9,999",Asian,1,4
state,Illinois,Firm Receipt Amount,"$5,000 to $9,999",Asian,135,125
state,Ohio,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Maine,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,New Jersey,Firm Receipt Amount,"$5,000 to $9,999",Asian,336,174
state,Alaska,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Pennsylvania,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Washington,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Arkansas,Firm Receipt Amount,"$5,000 to $9,999",Asian,4,7
state,Nebraska,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,6
state,Wisconsin,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,South Carolina,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Wyoming,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Kentucky,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Maryland,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,South Dakota,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Delaware,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Colorado,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,New Hampshire,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,California,Firm Receipt Amount,"$5,000 to $9,999",Asian,555,887
state,Nevada,Firm Receipt Amount,"$5,000 to $9,999",Asian,4,20
state,North Carolina,Firm Receipt Amount,"$5,000 to $9,999",Asian,19,35
state,Alabama,Firm Receipt Amount,"$5,000 to $9,999",Asian,3,5
state,Tennessee,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,4
state,Louisiana,Firm Receipt Amount,"$5,000 to $9,999",Asian,3,10
state,Oregon,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Rhode Island,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Hawaii,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Iowa,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Oklahoma,Firm Receipt Amount,"$5,000 to $9,999",Asian,3,4
state,New Mexico,Firm Receipt Amount,"$5,000 to $9,999",Asian,4,6
state,Montana,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Connecticut,Firm Receipt Amount,"$5,000 to $9,999",Asian,14,21
state,Florida,Firm Receipt Amount,"$5,000 to $9,999",Asian,444,168
state,Missouri,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,West Virginia,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,5
state,Massachusetts,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Texas,Firm Receipt Amount,"$5,000 to $9,999",Asian,182,352
state,Indiana,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,11
state,Georgia,Firm Receipt Amount,"$5,000 to $9,999",Asian,45,91
state,Kansas,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,New York,Firm Receipt Amount,"$5,000 to $9,999",Asian,3316,762
state,Minnesota,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Arizona,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,District of Columbia,Firm Receipt Amount,"$5,000 to $9,999",Asian,4,12
state,Michigan,Firm Receipt Amount,"$5,000 to $9,999",Asian,2,14
state,Virginia,Firm Receipt Amount,"$5,000 to $9,999",Asian,120,133
national,United States,Firm Receipt Amount,"$5,000 to $9,999",Asian,5853,3911
state,Mississippi,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Vermont,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,New Jersey,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Mississippi,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Georgia,Firm Receipt Amount,"less than $5,000",Asian,103,182
state,Arizona,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,North Dakota,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Indiana,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Ohio,Firm Receipt Amount,"less than $5,000",Asian,25,14
state,Maine,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,South Dakota,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,California,Firm Receipt Amount,"less than $5,000",Asian,1982,780
state,Florida,Firm Receipt Amount,"less than $5,000",Asian,317,231
state,Oregon,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Virginia,Firm Receipt Amount,"less than $5,000",Asian,124,124
state,Hawaii,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Louisiana,Firm Receipt Amount,"less than $5,000",Asian,0,5
state,Pennsylvania,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Massachusetts,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Illinois,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Michigan,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Colorado,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,District of Columbia,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Alaska,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,South Carolina,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,New Hampshire,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Nevada,Firm Receipt Amount,"less than $5,000",Asian,31,73
state,Texas,Firm Receipt Amount,"less than $5,000",Asian,110,393
state,Maryland,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Washington,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Delaware,Firm Receipt Amount,"less than $5,000",Asian,8,9
state,Rhode Island,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Wisconsin,Firm Receipt Amount,"less than $5,000",Asian,0,0
national,United States,Firm Receipt Amount,"less than $5,000",Asian,4737,3508
state,Oklahoma,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Connecticut,Firm Receipt Amount,"less than $5,000",Asian,9,13
state,Tennessee,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Alabama,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,North Carolina,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,New York,Firm Receipt Amount,"less than $5,000",Asian,624,327
state,New Mexico,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Iowa,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Wyoming,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Montana,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Missouri,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Vermont,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Kansas,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Nebraska,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Minnesota,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Kentucky,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Utah,Firm Receipt Amount,"less than $5,000",Asian,15,12
state,Idaho,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,New York,Firm Receipt Amount,"$1,000,000 or more",Asian,291519,17189
state,Maine,Firm Receipt Amount,"$1,000,000 or more",Asian,3375,203
state,Idaho,Firm Receipt Amount,"$1,000,000 or more",Asian,0,0
state,Virginia,Firm Receipt Amount,"$1,000,000 or more",Asian,118789,5316
state,Minnesota,Firm Receipt Amount,"$1,000,000 or more",Asian,18931,999
state,Iowa,Firm Receipt Amount,"$1,000,000 or more",Asian,5831,320
state,Missouri,Firm Receipt Amount,"$1,000,000 or more",Asian,30553,1425
state,North Dakota,Firm Receipt Amount,"$1,000,000 or more",Asian,0,0
state,Louisiana,Firm Receipt Amount,"$1,000,000 or more",Asian,28065,1374
state,Oregon,Firm Receipt Amount,"$1,000,000 or more",Asian,32742,1806
state,Rhode Island,Firm Receipt Amount,"$1,000,000 or more",Asian,2834,167
state,California,Firm Receipt Amount,"$1,000,000 or more",Asian,881217,49322
state,Tennessee,Firm Receipt Amount,"$1,000,000 or more",Asian,46479,3069
state,West Virginia,Firm Receipt Amount,"$1,000,000 or more",Asian,5650,227
state,Illinois,Firm Receipt Amount,"$1,000,000 or more",Asian,116706,6838
state,Alabama,Firm Receipt Amount,"$1,000,000 or more",Asian,61897,2105
state,Indiana,Firm Receipt Amount,"$1,000,000 or more",Asian,35959,2168
state,Washington,Firm Receipt Amount,"$1,000,000 or more",Asian,82376,5246
state,South Carolina,Firm Receipt Amount,"$1,000,000 or more",Asian,26183,1609
state,District of Columbia,Firm Receipt Amount,"$1,000,000 or more",Asian,6293,456
state,Montana,Firm Receipt Amount,"$1,000,000 or more",Asian,3229,139
state,Maryland,Firm Receipt Amount,"$1,000,000 or more",Asian,78323,4037
state,New Hampshire,Firm Receipt Amount,"$1,000,000 or more",Asian,7376,429
state,New Jersey,Firm Receipt Amount,"$1,000,000 or more",Asian,162190,8694
state,Massachusetts,Firm Receipt Amount,"$1,000,000 or more",Asian,54925,3223
state,Hawaii,Firm Receipt Amount,"$1,000,000 or more",Asian,96003,2709
state,Pennsylvania,Firm Receipt Amount,"$1,000,000 or more",Asian,85906,4482
state,Mississippi,Firm Receipt Amount,"$1,000,000 or more",Asian,14507,1065
state,South Dakota,Firm Receipt Amount,"$1,000,000 or more",Asian,1501,130
national,United States,Firm Receipt Amount,"$1,000,000 or more",Asian,3493219,183565
state,Florida,Firm Receipt Amount,"$1,000,000 or more",Asian,168100,9882
