geo_level,geo_name,metric,metric_value,race_or_ethnicity,number_of_employees,number_of_employer_firms
state,Maryland,Firm Receipt Amount,"$5,000 to $9,999",Asian,0,0
state,Maryland,Firm Receipt Amount,"less than $5,000",Asian,0,0
state,Maryland,Firm Receipt Amount,"$1,000,000 or more",Asian,78323,4037
state,Maryland,Firm Receipt Amount,"$10,000 to $24,999",Asian,108,184
state,Maryland,Firm Receipt Amount,"$25,000 to $49,999",Asian,332,408
state,Maryland,Firm Receipt Amount,"$50,000 to $99,999",Asian,619,654
state,Maryland,Firm Receipt Amount,"$100,000 to $249,999",Asian,4456,2264
state,Maryland,Firm Receipt Amount,"$250,000 to $499,999",Asian,8603,2638
state,Maryland,Firm Receipt Amount,"$500,000 to $999,999",Asian,17087,3390
state,Maryland,Firm Size,Firms with no employees,Asian,0,1456
state,Maryland,Firm Size,Firms with 1 to 4 employees,Asian,15165,7054
state,Maryland,Firm Size,Firms with 5 to 9 employees,Asian,16799,2635
state,Maryland,Firm Size,Firms with 10 to 19 employees,Asian,20031,1495
state,Maryland,Firm Size,Firms with 20 to 49 employees,Asian,20581,735
state,Maryland,Firm Size,Firms with 50 to 99 employees,Asian,10275,155
state,Maryland,Firm Size,Firms with 100 to 249 employees,Asian,0,0
state,Maryland,Firm Size,Firms with 250 to 499 employees,Asian,0,0
state,Maryland,Firm Size,Firms with 500 employees or more,Asian,6076,33
state,Maryland,Firm Size,Firms with less than 500 employees,Asian,103512,13677
state,Maryland,Firm Receipt Amount,"$5,000 to $9,999",Black,0,0
state,Maryland,Firm Receipt Amount,"less than $5,000",Black,0,0
state,Maryland,Firm Receipt Amount,"$1,000,000 or more",Black,58463,1713
state,Maryland,Firm Receipt Amount,"$10,000 to $24,999",Black,49,167
state,Maryland,Firm Receipt Amount,"$25,000 to $49,999",Black,645,570
state,Maryland,Firm Receipt Amount,"$50,000 to $99,999",Black,925,746
state,Maryland,Firm Receipt Amount,"$100,000 to $249,999",Black,2656,1566
state,Maryland,Firm Receipt Amount,"$250,000 to $499,999",Black,5233,1518
